gair,nifer
cynghor,569
mwyach,569
wastad,569
gwedi,569
teyrnas,568
foesol,568
cyfeillion,568
ferch,567
drosodd,567
luther,566
boreu,566
drosto,566
ymadael,566
ddoethineb,565
ll,565
êang,565
daflu,565
byr,563
tai,563
graig,563
gristionogol,561
ddu,561
edig,561
frenin,561
gerllaw,559
iv,559
ddosbarth,559
maith,558
ydys,558
deimladau,557
iaid,557
seisonig,557
mawredd,556
tlodion,556
wnai,556
perffaith,556
argraffwyd,555
anrhydeddus,555
wasg,555
dro,554
tywysog,554
llong,553
daear,553
cristion,552
hithau,552
edward,552
der,551
allwn,551
angel,550
alluoedd,550
duedd,550
yd,549
x,549
chafodd,549
gormod,549
bai,548
werin,548
ardal,548
bwnc,548
nodwedd,547
frenines,547
gweithredu,546
ddiau,546
gallem,546
had,544
efengylaidd,544
oddiwrtho,544
joseph,542
anghofio,542
rhagori,542
gwnaed,541
llwyddiannus,541
rym,541
meddyliol,540
addoli,540
awdl,540
gyn,539
ddeddfau,539
chwaer,539
doeth,538
gyhoeddwyd,538
nghrist,538
teilwng,538
ymofyn,537
bore,536
dori,536
arwyddo,535
dysgeidiaeth,535
cyfaill,535
sefydledig,535
athrawon,535
welsh,535
gallant,534
sicrwydd,534
brawd,534
eneidiau,533
dawel,533
gor,533
adgyfodiad,532
dragywyddol,530
penodol,530
james,530
allasai,529
tlawd,528
amseroedd,528
byddent,528
fyddin,527
efallai,527
ysbrydoliaeth,527
ser,527
llïaws,527
ddychwelyd,526
aethant,526
angelion,526
greadigaeth,526
rhoddodd,525
gelynion,524
ddirfawr,523
naw,523
bedair,523
oer,523
gyson,522
gymhwys,522
ymdrechu,521
ganddi,521
ymweled,521
cristionogol,521
gryf,520
ammheuaeth,520
india,519
hyfrydwch,518
dysg,517
pabyddiaeth,517
penau,517
fil,516
wrthynt,516
drugaredd,515
dewis,515
faith,515
ellid,515
ddelw,515
cymerodd,514
mo,513
flaenorol,513
gwadu,513
fawredd,513
ddaioni,512
methodistiaid,512
gynnwys,512
myfi,512
ini,512
weithredu,511
traethawd,511
fasnach,510
fynwes,510
harglwydd,510
dyeithr,510
gallesid,509
morgan,508
esboniad,508
anwybodaeth,507
blynyddoedd,506
llys,505
ati,505
oeddent,505
allor,504
enau,503
lwyddiant,503
cyfammod,503
canol,503
ddiweddaf,503
dyfroedd,503
herbyn,502
awyddus,502
cyfansoddi,501
difrifol,501
arnaf,501
ddywedodd,501
barhâus,500
llawr,500
bersonau,499
adeilad,499
new,499
waeth,499
llun,498
ymweliad,497
gwyn,497
ffurfiau,497
maint,496
ddyledswydd,496
barddoniaeth,495
hwyr,495
ymron,495
bedwar,495
ymarferol,495
draul,494
ymddygiad,493
pedair,492
caru,492
duwdod,492
gweithiau,492
eisteddfod,492
oddiyno,491
tystiolaeth,491
llanw,490
pabyddion,490
pabaidd,489
cyfiawn,489
bennod,488
gwisgo,488
buasent,488
genedlaethol,487
cyfodi,487
ymneillduwyr,486
rhyfeddol,486
gelyn,485
dyoddef,485
atebiad,485
ysgrifenodd,485
cymhariaeth,484
lais,484
coed,483
rhagluniaeth,483
anhawsderau,483
pum,483
dybygem,483
oesau,482
fendith,481
wn,481
prydferth,480
taith,480
oen,480
gwahaniaethu,479
cydwybod,479
od,479
drydedd,478
gwrthddrychau,478
sabbothol,478
blynedd,477
mynych,477
weddi,477
rhwydd,476
hysbysu,476
sawl,475
dengys,475
cyflawn,475
calonau,475
gyfeirio,475
dychwelyd,475
olygiadau,475
haf,475
meibion,474
chrefydd,473
grymus,473
rhoddwyd,473
it,473
go,472
